,Cash,Australian Short Duration Bond,Australian Fixed Income,Global Fixed Income (Hedged),Global Credit (Hedged),Australian Listed Equity,Global Listed Equity (Unhedged),Global Listed Equity (Hedged),Australian Listed Property,Global Infrastructure (Unhedged),Global Private Equity
Apr 2009,0.0026433010,0.0091404340,0.0000353274,0.0063828340,0.0245535710,0.0570476120,0.1148989270,0.1040934230,0.0624119580,-0.0114962610,0.2671080830
May 2009,0.0025143690,0.0032216150,-0.0071947590,0.0038458750,0.0270375960,0.0145713510,0.0952679410,0.0642247960,0.0424080940,-0.0439872110,-0.0168912260
Jun 2009,0.0026748600,0.0069273750,-0.0061424570,0.0113016530,0.0230078870,0.0395993850,-0.0088289390,-0.0013473080,0.0489499490,0.0185754560,0.0165582920
Jul 2009,0.0026510180,0.0043440410,0.0031363660,0.0154650940,0.0329115270,0.0733922400,0.0862303600,0.0783982200,0.0236047700,0.0088794320,0.0663976510
Aug 2009,0.0025303010,0.0072711690,0.0071646190,0.0126328310,0.0198177790,0.0663864210,0.0324221720,0.0335426530,0.1611677480,0.0118828240,0.0585349560
Sep 2009,0.0028294490,0.0025421880,0.0072354210,0.0105314970,0.0172622650,0.0626474680,0.0418474660,0.0343326050,0.1003511760,-0.0172380720,0.0155821860
Oct 2009,0.0025577730,0.0091008750,-0.0007545090,0.0045626920,0.0086335220,-0.0207104210,-0.0167654950,-0.0173184190,-0.0897730230,-0.0454584840,-0.0757612070
Nov 2009,0.0030354400,0.0039600610,0.0149821470,0.0127878340,0.0142168440,0.0180173900,0.0397027680,0.0336929200,0.0095525780,0.0482309800,-0.0108160890
Dec 2009,0.0032261070,0.0077767350,-0.0038123390,-0.0061815070,-0.0028132120,0.0368877410,0.0197838620,0.0401954040,0.0339697340,0.0364501830,0.0841328190
Jan 2010,0.0034686560,0.0059714800,0.0134671360,0.0135014460,0.0187265920,-0.0616702730,-0.0428629470,-0.0334424110,-0.0297811620,-0.0138538340,0.0618534000
Feb 2010,0.0034528720,0.0009850360,0.0049604360,0.0076459440,0.0069709700,0.0204594340,0.0105058370,0.0190334460,0.0141809020,-0.0015626700,0.0176143440
Mar 2010,0.0032679180,0.0058786060,-0.0058329100,0.0055754800,0.0100047420,0.0574136140,0.0613295060,0.0662928160,-0.0003268910,0.0136158250,0.0807753880
Apr 2010,0.0034638040,0.0072947850,0.0055095820,0.0088022580,0.0132857610,-0.0134596950,0.0000000000,0.0062520540,0.0390575510,-0.0091553660,0.0250492570
May 2010,0.0037524320,0.0064652690,0.0164530990,0.0118465100,-0.0000926612,-0.0754007990,-0.0956166100,-0.0756405460,-0.0427098380,0.0232262090,0.0293138040
Jun 2010,0.0039508140,0.0055730240,0.0136508410,0.0124991390,0.0154758600,-0.0264671500,-0.0324215900,-0.0339026720,-0.0101800380,0.0148799450,-0.0275128770
Jul 2010,0.0042213510,0.0096913520,0.0027274740,0.0114203780,0.0182058770,0.0447606820,0.0787757720,0.0598514000,0.0110270780,-0.0137186400,-0.0330728290
Aug 2010,0.0040598480,-0.0010548040,0.0192062310,0.0208251290,0.0243334080,-0.0108101730,-0.0368261070,-0.0284514560,0.0351860660,0.0187777300,-0.0028103930
Sep 2010,0.0037148720,0.0072933110,-0.0090245860,0.0019777770,0.0064310090,0.0478773570,0.0922479780,0.0711135120,-0.0085308660,-0.0490397590,-0.0249386560
Oct 2010,0.0041992270,0.0035286340,0.0000046594,0.0028952990,0.0049119760,0.0183524910,0.0356027900,0.0313063550,-0.0037454900,0.0140880760,0.0482341590
Nov 2010,0.0038871620,0.0039709040,-0.0021979160,-0.0074500360,-0.0084349860,-0.0096835000,-0.0233468030,-0.0006096660,-0.0197280510,0.0003616610,0.0590102350
Dec 2010,0.0042417800,0.0082144070,0.0002656830,-0.0001913250,-0.0011342320,0.0377321210,0.0710251530,0.0566866210,0.0119806840,-0.0312031760,-0.0073533830
Jan 2011,0.0042842880,0.0052248190,0.0092016340,0.0008651750,0.0037122770,0.0010535200,0.0163105130,0.0185881860,0.0236610050,0.0384584830,0.0265171680
Feb 2011,0.0037098760,0.0070210030,0.0042416830,0.0053127030,0.0094856840,0.0233186640,0.0271501400,0.0261153360,0.0334861540,0.0046938250,0.0266904620
Mar 2011,0.0041879340,0.0052473600,0.0068283600,0.0033551530,0.0031465520,0.0066809780,-0.0041117210,-0.0023065250,-0.0194676130,-0.0402408880,-0.0325965120
Apr 2011,0.0040264880,0.0071713170,0.0047893980,0.0123916520,0.0163279340,-0.0031776070,0.0379250350,0.0238912210,0.0030460890,-0.0314723930,-0.0437821570
May 2011,0.0041648750,0.0054508030,0.0128392310,0.0138467320,0.0142053860,-0.0201766100,-0.0241795710,-0.0094178740,-0.0002235400,0.0189086680,0.0276741690
